127.0.0.1 - - [08/Dec/2024:22:08:59 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:36 +0800] "GET /ssm_project/asset/js/pintuer.js HTTP/1.1" 200 16856
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:36 +0800] "GET /ssm_project/asset/images/tmbg-white.png HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:36 +0800] "GET /ssm_project/asset/images/bg2.png HTTP/1.1" 200 2334156
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:50 +0800] "POST /ssm_project/admin/login.action HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:50 +0800] "GET /ssm_project/images/y.jpg HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:53 +0800] "GET /ssm_project/admin/createAdmin.action HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:53 +0800] "GET /ssm_project/js/admin.js HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:13:58 +0800] "GET /ssm_project/admin/getAllAdmin.action HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:00 +0800] "GET /ssm_project/admin/getAllAdmin.action HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:00 +0800] "GET /ssm_project/admin/queryAdminByCond.action HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:04 +0800] "GET /ssm_project/users/getAllUsers.action HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:04 +0800] "GET /ssm_project/users/queryUsersByCond.action HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:05 +0800] "GET /ssm_project/article/createArticle.action HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:05 +0800] "GET /ssm_project/ckeditor/ckeditor.js HTTP/1.1" 200 520246
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:05 +0800] "GET /ssm_project/js/article.js HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/ckeditor/config.js?t=E3OD HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/ckeditor/skins/moono/editor.css?t=E3OD HTTP/1.1" 200 46312
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/ckeditor/lang/zh-cn.js?t=E3OD HTTP/1.1" 200 16512
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/ckeditor/styles.js?t=E3OD HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/ckeditor/skins/moono/icons.png HTTP/1.1" 200 20833
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/article/getAllArticle.action HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/ckeditor/contents.css?t=E3OD HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [08/Dec/2024:22:14:06 +0800] "GET /ssm_project/article/queryArticleByCond.action HTTP/1.1" 200 2017
